,text,sentiment
2105,dannyboi965 a shocking photo taken in the sewers in ohio after the gopdebate last night ,Negative
2107,anntelnaes god i hope the field gets smaller soon gopdebate 2016election toomanytodraw ,Negative
2108,govchristie gave the only intelligent answer on entitlements last night and he only got 65 of it right gopdebate ,Positive
2112,totallymorgan if they cut to a wider shot youd see chrisbrown billcosby and charles manson gopdebate ,Negative
2113,kharyp when hillaryclinton calls men fat pigs dogs slobs and disgusting animals get back to me gopdebate ,Negative
2114,haleyrfalconer will we hear about infrastructure let alone water infrastructure in gopdebate tell us your plan for investing in ,Negative
2115,alainasmith really impressed with dr carson and senator rubio tonight gopdebate ,Positive
2116,torchie123 remember when megynkelly gave anjemchoudary and billayers more respect than any gopdebate candidate sick foxnews ,Negative
2118,as shaunking pointed out gopdebate had a huge audience of poc ready to learn what we learned was mostly just scary at best tone deaf ,Negative
2121,urfavrochelle the best closing statement was realbencarson gopdebate ,Positive
2122,nochristie16 the photo that ended chrischristies presidential hopes gopdebate bat nea njea edchat ,Negative
2123,iamrapapo the only debate anyone really cares about iamrapapo wedontfactcheck michaelrapapo geraldmoody1560 gopdebate ,Negative
2128,so trump got trumped by megynkelly and what does he do whines like a mamas boy and calls her a bimbo gopdebate keepitupmegyn ,Negative
2130,the world is changing too fast for them gopdebate ,Negative
2131,realdonaldtrump retweets twitter users calling megynkelly a bimbo and unbecoming after gopdebate ,Negative
2132,nodigmaine hey gopdebate infastructure crumbling below our communities what will you do to protect our future ,Negative
2133,i wish there was more cgi in the gopdebate when the candidates called out trump as not being helpful to americans ,Negative
2134,nochristie16 chrischristie blasts sanctuary cities then finds he has four under his own nose in nj gopdebate fail foxnews ,Negative
2135,exactly gopdebate ,Negative
2136,if you werent following pattonoswalt last night your gopdebate was significantly less awesome ,Negative
2137,rakapanka megan youve called women fat pigs etc gop audience ha ha ha wtf what is wrong with these people gopdebate ,Negative
2138,new post marcorubio shines gopdebate trump bush carson fiorina foxnews ,Positive
2139,im thoroughly disgusted by the abysmal performance demonstrated last night by foxnews they owe each candidate an apology gopdebate ,Negative
2140,huckabee the military is not a social experiment agreed gopdebate ,Positive
2141,johnconti78 aicle calling johnkasichs performance at gopdebate fantastic kasich4us kasich2016 ,Positive
2142,senatorshoshana if megynkelly is a bimbo as realdonaldtrump says shouldnt he have had a super easy time answering her questions ,Negative
2143,cuban rpt he liked rubio gopdebate easy 4him 2say try livin whim down here in florida amp c how much u like him politicalnightmare ,Negative
2144,damienfahey senator cruz your ears look like large oysters please explain gopdebate ,Negative
2145,jefftiedrich the republican pay wakes up with a huge hangover a splitting headache and no idea why its in bed with donald trump ,Negative
2146,wandered away from the gopdebate coverage last night shouting i am all out of evens to cant ,Negative
2148,holy crap gt this lady is as sharp as it gets gt carlyfiorina watch out boys gopdebate ,Positive
2149,nochristie16 nj has had 9 credit downgrades in just 5 years under chrischristie gopdebate foxnews tellingitlikeitis ,Negative
2150,freeamerican100 libearianwing randpaul ronpaul gopdebate standwithrand rand gets 12 trump speaking time ,Negative
2152,all i learned from gopdebate is that realdonaldtrump is a sexist pig w mo shock value for the ignorantwow that debate was drunkenky dumb ,Negative
2153,nochillzabree so aboion is murder to yall but when cops keep abusing the system and murdering black people yall wanna be quiet ,Negative
2155,the best answers from yesterday in substance and style came from carlyfiorina bar none gopdebate outnumbered ,Positive
2156,hows this for an accurate description of our system the gopdebate illustrated this in a wonderful scary fashion ,Negative
2157,lol of course you do sallykohn i think megynkelly won gopdebate tcot ,Negative
2158,govmikehuckabee i pledge to oppose amnesty amp government benefits for illegal immigrants who violated our laws ,Positive
2159,mn2a4asuppoer with first debate over hands down tedcruz is my pick for president gopdebate ,Positive
2160,pouty face donald bullies around at the gop debate im rich amp loud amp do what i want if i can get away with it gopdebate ,Negative
2161,hardlinestance fox gopdebate drew 10 million viewers no democrat primary debate has ever attracted anything like this rush ,Positive
2163,not addressed once at either gopdebate believersneverdie ,Negative
2165,nannacassie oh lordmegynkelly is going to have debbiewassermanschultz on after gopdebate showbabykiller suppoerampwe should care ,Negative
2166,texasdivepro i see you missed the point i know how comprehension is a problem for you types foxnews gopdebate ,Negative
2168,the best person in the gop wasnt even in the 9pm gopdebate is gop stupid enough to leave carly fiorina out of next prime time debate ,Negative
2169,megynkelly is very biased or she was paid off to assassinate realdonaldtrump during the gopdebate kellyfailed ,Negative
2170,bustle ignoring the gopdebate comments on gay marriage like ,Negative
2171,realbencarson drbencarson2016 gopdebate i loved this quote and how true it is ,Positive
2172,16 of united states homes with tv sets tuned in to gopdebate wow ,Positive
2173,suthenboy trump exposed the fact that every other candidate is nothing more than the puppet of their wealthy benefactors gopdebate ,Positive
2175,doc68w fox tried hard to torpedo trump from the opening question to ques abt his remarks abt women gopdebate see also roves wsj piece ,Negative
2176,okay carlyfiorina im listening now you were amazing last night girlpower gopdebate ,Positive
2177,the real voice of the gop in the gopdebate was realdonaldtrump foxnews dont be mad hes only parroting what you have been sying 4yrs ,Negative
2178,fredbarnes weeklystandard mike huckabee was the star of the luntz focus group show when he spoke the feedback soared gopdebate ,Positive
2181,lemme seewho elsebush rubio too similar gopdebate ,Negative
2183,govmikehuckabee millions of americans lost insurance because of obamacare but not congress you cant claw away those benefits imw ,Negative
2184,serf the military is about killing people huckabee is prolife gopdebate ,Negative
2185,4gen234 cruz has had very little mic time but hes made good use of his time gopdebate cruzcrew ,Positive
2186,coketweet heres the pa where they all try to prove that theyre each the biggest misogynist gopdebate ,Negative
2188,rewatching highlights from last nights gopdebate really makes me cringe all i can say is lol ,Negative
2189,allahpundit best pa of rushs openinghis repoing the backlash against foxnews theyve forgotten their audience gopdebate ,Negative
2191,i am dead gopdebate trump at the roxbury ,Negative
2192,lindacohn trump showed he didnt belong but did gop a favor better ratings amp he brought out personalities and ideas of other candidat ,Positive
2193,mrdaveyd so donald trump says everyone is stupid and ben carson says everyone is an uninformed useful idiotwe are all not wohy ,Negative
2194,i think all the gop candidates have a secret crush on hillary because they were trashing talking her so much gopdebate ,Negative
2196,i forgot chrischristie was running until i saw the gopdebate forgotten ,Negative
2198,this is my favorite quote of the gopdebate this is the only point realdonaldtrump needed to make ,Positive
2199,benwikler so was senschumer throwing his hat in the gopdebate ring by coming out on the gop side of the ira ,Negative
2200,coketweet i wish someone would ask ben carson if he thinks black lives matter i guarantee he would answer that all lives matter g ,Negative
2201,kerryepp this shows they did it wrong you need to fix that foxnews megynkelly bretbaier gopdebate ,Negative
2204,coketweet wow ignorant warmongering and blatant transphobia in the same sentence impressive mr huckabee gopdebate ,Negative
2205,this makes me feel better about trump gopdebate ,Negative
2207,shoer johnkasich i am proud to embrace the obama agenda amp expand government in ohio rino gopdebate tcot teapay gop ,Negative
2208,after last nights gopdebate all presidential debates should just be rich corporate ceos as they run the government anyway transparency ,Negative
2209,omg when trump raises his hand and the audience goes crazy gopdebate ,Positive
2210,pftcommenter does the deep dive survives with nothing but flesh wounds to his grammar gopdebate via sbnation ,Negative
2211,marco rubio voted against unemployment benefits even though florida needs them most gopdebate ,Negative
2212,averagechirps 7 disturbing megyn kelly moments on race topprog gopdebate ,Negative
2213,puddinstrip heres a photo of a puppy eating a shoe to take your mind off mike huckabee talking about a womans vagina gopdebate ,Negative
2214,govmikehuckabee the irs is intrusive invasive unaccountable amp outofcontrol it must be abolished onceandforall gopdebate h ,Positive
2216,pulmyears official photo from the big foxnews gopdebate last night teapay socalimilitia1 donkeyarguing ,Negative
2217,i took the temperature of dcs bars for all you who watched the gopdebate in the comfo of your own home last night ,Negative
2218,2afight trump changed pay 6 times loves ego not america gopdebate tcot pjnet ycot rednationrising ccot teapay ,Negative
2219,gopdebate last night was a joke still cant wrap my head around that circus ,Negative
2220,nbcuniverso whos the real illegal alien gopdebate farrakhan on immigration amp the mexican bor via youtube ,Negative
2222,montelwilliams gaining the most in tonights gopdebate john kasich enough amateur hour kasich4us johnkasich ,Positive
2223,jennhohman after gopdebate hes on top go realbencarson go foxnews and megynkelly keep ben on the air ,Positive
2224,dwstweets what we didnt hear tonight ideas that suppo the middle class women students or lgbt americans omgop gopdebate ,Negative
2225,waynedupreeshow gopdebate megynkelly promised they would be calling on realbencarson a lot more guess she embellished that one ,Negative
2226,berniesanders gained over 10000 followers in 2 hours simply for live tweeting the gopdebate hmmhe must have something to say bernie ,Negative
2229,tjocaldwell the big problem this country has is political correctness trump gopdebate disrespected megankelly ,Negative
2230,bretbaier not sure why people are giving you and the panel so much heat i thought you guys were brutally fair and professional gopdebate ,Positive
2231,govmikehuckabee washington has done enough lying and stealing i will protect social security amp medicare gop ,Positive
2232,how did any of the republicans win last nights gopdebate not a single one of them offered a value or criterion for the round ldjokes ,Negative
2233,smith83k oh no you didnt jeb just blamed obama for what his brother did in iraq gopdebate libcrib unitebiue ,Negative
2234,watched the gopdebate last night which is very unlike me feels like a complete joke with trump on stage seriously ,Negative
2235,mtaibbi drink rule changes for the next gopdebate drink every time you hear the following 15 amnesty and 16 radical islam ,Negative
2237,anddonaldtrump remains at the top of the polls boo what is wrong with people kasich2016 did well gopdebate fat pig womenno ,Negative
2238,tedcruz i believe the american people are looking for someone to speak the truth gopdebate cruzcrew ,Positive
2239,facebook owner of instagram panered w fox to host the gopdebate and then silenced critics of the candidates ,Negative
2240,pattonoswalt live tweeting the gopdebate helps it go down a little easier so much insanity ,Negative
2242,tinaissa i think megyn kellly won this debate gopdebate ,Negative
2243,garnerpayof9 gopdebate megankelly grow some you dish it out but cant take it megynkelly ,Negative
2244,trump did fine in the gopdebate not spectacular but good enough its in the postdebate hes killing himself ,Negative
2245,kmcq this is the most generous country in the world when it comes to immigration says rubio yes thats the problem gopdebate ,Negative
2247,if the only outcome of the gopdebate is that the trump is a domineering boor replace one of the old guys in suits with a monkey next time ,Negative
2248,shawnsuth dont be misled it was like a 510 tweet pay the gopdebate on the other hand would have been incredible ,Positive
2249,breaking news is realdonaldtrump buying foxnews sources say that would be hilarious trump gopdebate ,Negative
2250,millerkevinc hard to hear all the candidates at the gopdebate talk about sending more troops to war with no mention of how to care fo ,Negative
2252,govmikehuckabee ill protect ss amp medicare ill kill anything posing a threat to the promises weve made our seniors gopdebate ,Positive
2253,shannonrwatts nra built massive database of gun owners while opposing national gun registry gopdebate gunsen ,Negative
2255,lgnctn mikehuckabee should drop a mixtape called kill people break things and feature wakaflocka on the title track gopdebate ,Negative
2256,chakerkhazaal election2016 news hillaryclinton is not watching tonights gopdebate ,Negative
2257,dionaoku shade gopdebate ,Negative
2258,wendyhagen also candidates wear shock collars amp if they mention hillaryclinton or barackobama shocked somebody put me in charge ,Negative
2259,watching recording of the gopdebate forget reality tv this is primetime comedy gold politics ,Negative
2265,nytpolitics fact check marco rubio says amazon is the largest retailer but its not gopdebate mouth wth legs ,Negative
2266,acpresstracey hetrick and acpresskramer with a great look at realdonaldtrumps record in ac apropos after gopdebate thurs ht ,Positive
2267,what a circus that was gopdebate ,Negative
2268,cracking up at theskimm summary of the gopdebate ,Positive
2269,megynkelly had bad night shouldve asked realdonaldtrump impoant questions how will he stop isis gopdebate ,Negative
2270,the gopdebate was the worst jerry springer episode ive seen in years ,Negative
2272,the chair of the dnc doesnt know the fn difference between being a democrat amp a socialist but trump called someone a fat pig gopdebate ,Negative
2273,mazandara gopdebate potus presents false theirandeal choice bet war amp appeasement regimechange analyses ,Negative
2274,drienasixto wohoo americas youth has the right idea dont cha think studentsforrubio gopdebate sfrnc ,Positive
2275,fmriguy btw the correct response at last nights gopdebate wouldve been my faith is a personal matter amp unrelated to my aptitude ,Negative
2276,goodrichgevaa the militarys favorite song is break stuff by limp bizkit mikehuckabeegop gopdebate ,Negative
2278,danscavino realdonaldtrump has complete control of gopdebate stage tonight bretbaier megynkelly kellyfailed trump2016 ,Positive
2280,ryanmauro arab columnist praises realdonaldtrump donaldtrump gopdebate ,Negative
2281,gopendejos an hour in and still no mention of ronaldraven our finest avian president gopdebate foxdebate foxnews ,Negative
2282,the best way to denigrate roger ailes whorehouse of a network is to refer to it as the fox news distinct from real news gopdebate ,Negative
2283,anyone not willing to place objective reality ahead of lunatic liberal ideology is no friend to those resisting progressivism gopdebate ,Negative
2285,nannacassie a small window into trump tonight he has a soft side being nice class act respectful amp fair matters to him gopdeb ,Positive
2286,sonarjose mk mr simpson youve stalked and savagely murdered women oj only my exwife audience roars with laughter appl ,Negative
2287,katiecouric im sure its not easy to moderate such a big groupso congrats to bretbaier megynkelly and chriswallace gopdebate ,Negative
2288,mattyiceaz the best pa of the debate tonight watching all the governors take credit for the economic progress under obamas policie ,Negative
2289,the only way the gopdebate could have been crazier is if melania jumped up and pulled megynkelly s hair outnumberedfnc trumplike ,Negative
2290,libeyladyusa whoooooooooop ted cruz is wrappin up with bang gopdebate ,Positive
2291,marmel so were going to talk about trumps bankruptcies but not fiorinas tenure at hp adorbs gopdebate ,Negative
2292,so this tweet was way funny gopdebate womenshealth itsnot1954 ,Negative
2293,motivation tip resolving from political and corporate leaders is what a nations struggling economy needs not enteaining gopdebate ,Negative
2294,catching up on some of last nights gopdebate vast majority of the questions are on flipflop positions that span across years ,Negative
2296,gopdebate in a nutshell via vote true blue 2016 ,Negative
2297,rickbot5000 is bretbaier an oompa loompa gopdebate orangish ,Negative
2298,best line of gopdebate was immigration without assimilation is invasion was that gov jindal ,Negative
2300,america4israel foxnews gopdebate a lovefest for republican pay problem wasnt just megynkelly but all producers involved in bury ,Negative
2302,sleevetalkshow realdonaldtrumps incivility amp arrogance continues after foxnews gopdebate ,Negative
2303,bound4life why all gopdebate candidates suppo defundpp missing standout carly fiorina in graphic ,Negative
2304,musicluvr foxnews gopdebate last night was good chrischristie amp surprisingly randpaul brought the fireworks ,Positive
2306,annebayefsky what was striking foxnews anchors knew to hit antichoiceprolife candidates hard tho do opposite on their shows g ,Negative
2307,yes he did rmconservative gopdebate did cruz trump trump last night via cr ,Positive
2309,weve not seen any immigration proposal or plan from realdonaldtrump jmurguianclr of nclr gopdebate ,Negative
2311,fieldnegro no jeb u cant blame this one on barack the blood is on your brothers hands gopdebate ,Negative
2312,some would see it as radical but i liked govmikehuckabee idea of using 5th and 14th amendments to stop aboion gopdebate ,Positive
2313,girlsgetaways gopdebate i used to be a fan of megankelly not anymore she is laughing while attacking candidates unprofessional ,Negative
2314,rickbot5000 our news media is broken gopdebate ,Negative
2315,mikehuckabee should drop a mixtape called kill people break things and feature wakaflocka on the title track gopdebate ,Negative
2316,helengym2015 love twitter bringing humor to gopdebate but end of day 2015 gop is still the antiwoman antiimmigrant prorich anti ,Negative
2317,billmaher good for you megyn kelly calling ben carson an idiot right off the bat gopdebate ,Negative
2319,annebayefsky senmarcorubio god has blessed gop with some very good candidates and democrats cant even find one gopdebate ,Positive
2320,paolosf foxgop pays hunger games demagog foodfighter carlyfiorina gopdebate morningjoe ,Negative
2321,jamesrosenfnc bretbaier megynkelly amp chris wallace acted like cnn repoers gopdebate realdonaldtrump ,Negative
2322,annebayefsky realbencarson skin amp hair dont make people who they are as a neurosurgeon i operate on who they are gopdebate ,Negative
2323,4billlewis facebook amp twitter made gopdebate interesting jebbush realdonaldtrump marcorubio scottwalker johnkasich realbencar ,Positive
2324,ravingraver my response when megynkelly tried to call realdonaldtrump a sexist cant stump the trump gopdebate ,Negative
2325,clearly because there were a lot of sexist pigs in the audience gopdebate ,Negative
2326,reading the gop debate from last night makes me want to laugh and punch somebody in the face at the same time gopdebate ,Negative
2327,gopdebate trump says on the one hand everyone is too pc except when megan kelly hu his feelings now he might not be nice to her anymore ,Negative
2329,tried watching the gopdebate for enteainment purposes all them candidates made my nerves bad donaldtrump ,Negative
2330,if you missed last nights gopdebate heres the only recap video you need to watch ,Negative
2332,after the fox news gopdebate we primary voters are none the wiser on the policy plans these folks are putting foh journalism fail ,Negative
2333,realdonaldtrump totally dominates drudgerepo and time gopdebate polls makeamericagreatagain danscavino ,Positive
2334,tinaissa how many of you feel your iq is lower after watching that debate gopdebate ,Negative
2336,ctconserv1 megynkelly was awful no wonder her ratings are tanking gopdebate ,Negative
2337,interesting debate last night gopdebate ,Positive
2338,the main thing i got from scott walker was he needs a hat and he doesnt speak well gopdebate ,Negative
2339,rumpfshaker we have to make our country great again and i will do that donald trump who still cant quite explain how gopdebate ,Negative
2340,slackadjuster as a christian preacher huckabee sure is close minded amp judgemental women gays but stood with josh duggar gopdebate ht ,Negative
2341,trainspotter001 insightful commentary from fox debate moderatorsapparently fiorina opened a can or something whatever gopdebat ,Negative
2342,aprildryan one question on blacklivesmatter for the gopdebate and moved on ,Negative
2343,gopdebate outnumberedfnc next more on the earlier debate and carlyfiorinas stand out performance outnumbered ,Negative
2344,gopdebate democrats debate will be different there hillary clinton will debate herself changing her mask every 5 minutes satire ,Negative
2345,marmstead catch that blacklivesmatter question no mention in scottwalkers response commercial break straightouttacompton gop ,Negative
2347,trump calling megynkelly a bimbo is reprehensible this is about choosing a candidate for president not the jerry springer hour gopdebate ,Negative
2348,billmaher enough with hating on trump for being misogynist get to the pa where these 10 guys debate whether amy schumer is fuckable ,Negative
2349,chikimura according to huckabee trans people are just experiments this is the 21st century where lgbt rights are a thing gopdebate ,Negative
2350,i think donald trump is hilarious gopdebate ,Negative
2351,a guy from queens calling somebody lowclass is curious gopdebate ,Negative
2353,aridavidusa breaking news last night during the gopdebate megynkelly gained 300lbs and changed her name to candy tcot ,Negative
2354,any opinions on the real issues guess not if i wasnt laughing so hard id be crying gopdebate debatewithbernie ,Negative
2355,gopdebate official soundtrack ,Negative
2356,ladysandersfarm it showed they were more into themselves than gopdebate ,Negative
2357,gopdebate was very how can i put this politely macho people who argue about penis size generally have small ones ,Negative
2360,stockejock my white noise machine is just the sound of the presidential candidates arguing at the gopdebate ,Negative
2361,watching the gopdebate like ,Negative
2362,occupywallstnyc donald trump i have successfully lied and cheated and manipulated for personal gain so pick me bankruptcy gopdeba ,Negative
2363,jasonburns shoutout to megynkelly landslide winner of last nights gopdebate amazing job moderating that thing ,Positive
2364,yes scottwalker did call the middle east israel gopdebate election2016 ,Negative
2366,berrakdc in other news the bar just got very busy after the gopdebate ended i guess everyone needed a drink after that mess ,Negative
2367,juliaioffe an elegant witty roundup of last nights gopdebate by tnycloseread ,Negative
2368,rickyvaughn99 fox news tries to get the gop to gang up on trump and kasich curb stomps chris wallace cuckservative gopdebate ,Negative
2369,i wish i could bitch slap shit out a donald trump him and ted cruzand some other candidates were annoyinggopdebate ,Negative
2370,learn how to get away with sexism in 5 easy steps from realdonaldtrump gopdebate via voxdotcom ,Negative
2371,billmaher jesus this is the worst production of glengarry glen ross ive ever seen gopdebate ,Negative
2372,this may be trumps best qualification to be president the a of the comb over gopdebate not epicfail funny ,Negative
2374,foxnews gopdebate last night was good chrischristie amp surprisingly randpaul brought the fireworks ,Positive
2376,cruz closing statement may have sounded like it came from a meat market but huge difference is that cruz would actually do it gopdebate ,Positive
2377,illegal immigration has been talked about before realdonaldtrump staed speaking of it arrogant ignorant gopdebate ,Negative
2379,changed my mind gop bomb whoever you want to just want to keep more of my check and get my insur premiums under control deal gopdebate ,Negative
2380,rickyvaughn99 its clear that the fox news gop paymasters dislike ted cruz scott walker and donald trump cuckservative gopdebate ,Negative
2381,women who shame other women for having aboions deserve to be shamed for having no soul or self respect plannedparenthood gopdebate ,Negative
2383,realdonaldtrumps incivility amp arrogance continues after foxnews gopdebate ,Negative
2384,5 reasons to be glad that you didnt watch the fox news debate gopdebate alreadyglad ,Negative
2386,trump donated amp suppoed hillary and democrats for years that fact alone disqualifies him tcot gopdebate ccot ,Negative
2390,tvc3232 gopdebate gop candidates immediately after our prayer circle we will begin bombing iran amp taking health care away from 16 m ,Negative
2391,meninistkiller hey cis men you will never have to be pregnant you cannot judge people with vaginas on reasons they want aboions ,Negative
2392,gopdebate hard to find so much disrespect for women coming from so many politicians at once astounding ,Negative
2393,foxnews gopdebate a lovefest for republican pay problem wasnt just megynkelly but all producers involved in burying realdonaldtrump ,Positive
2394,cquintanasf loop baffled by the gopdebate refusal to address climate change dah ,Negative
2396,molonlabe1776us are you a rino megynkelly gopdebate realdonaldtrump ,Negative
2397,m0l0nl4be extremely unfair for bretbaier to kickoff the gopdebate with an attack on one specific candidate realdonaldtrump reinc ,Negative
2398,mstua1970 howard kuz bragged abt how liberals sch as huffpo complimented fox lol he thinks we r happy abt that gopdebate ,Negative
2399,donald trump got a few things wrong at the gopdebate jamesaking41 vocativ ,Negative
2401,under no circumstances should 10 men dictate aboion rights to women its the 21st century we are better than that gopdebate ,Negative
2402,thatfoxyshadow the whole gopdebate was simply a scheme by fox news to attack trump amp build up jeb amp the rest of the cuckservative g ,Negative
2403,it is that progressive movement that is causing them the problems eloquent words from bencarson2016 gopdebate ,Positive
2405,mecoleman612 i will never understand why rich white men think they can tell women what they cancant do with their bodies gopdebate ,Negative
2406,just tellin it like it is no wonder everyone is out to get him gopdebate tcot ,Negative
2407,shoutout to megynkelly landslide winner of last nights gopdebate amazing job moderating that thing ,Positive
2408,lol these conservatives trolling gopdebate and tryna sta an argument idontneedanothewitterargumentinmylife ,Negative
2409,lorrettajohnson the gopdebate showed that the gop candidates are out of touch with workers women people of color and basically anyo ,Negative
2410,john kasich is the leader america needs but not the leader america deserves batman gopdebate ,Positive
2411,renomarky if you megynkelly think that your question to realdonaldtrump to begin gopdebate was fair amp balanced ,Negative
2414,kc5lei my opinion of megankelly has really plumbed during gopdebate i expected her to be a neutral moderator i was dissappointed ,Negative
2415,shannonrwatts heres how us gun violence compares with rest of the world 60 of us homicides use a gun go ,Negative
2416,danacoez megynkellydebatequestions like effie from hunger games gopdebate ,Negative
2418,outnumberedfnc my wife never heard of rubio huckabee or cruz loved all 3 8 yrs ago she was a hillary suppoernot anymore gopdebate ,Positive
2419,president donald trump i like the way that sound realdonaldtrump gopdebate ,Positive
2420,rumpfshaker i have never gone bankrupt says trump who has multiple businesses that went thru bankruptcy screwed creditors out of m ,Negative
2422,trawlingtroll carlyfiorina was the winner of the earlier gopdebate beyond a couple brief moments everyone in the later debate was m ,Negative
2423,the most truthy analysis of the gopdebate last night was when chrisstirewalt quipped the realdonaldtrump had a honeybadger attitude ,Negative
2424,caseywez randpaul seriously your an idiot how many times you planning on running for president you know you dont have a chanc ,Negative
2425,mistake to think gopdebate would be fun seeing deep sickness us conservatism has become bastardized amp spawned by foxnews very disturbing ,Negative
2426,trumps answer for why he was until recently a democrat was less than satisfying im from new york thats his excuse phony gopdebate ,Negative
2428,ironhide81 oh yes we have to go to a commercial break the only time tedcruz wants to add a comment so sick of this bullshit go ,Negative
2429,mykanow bothers me when those running for president cannot respect even the office enough to call him president obama gopdebate fai ,Negative
2430,rushlimbaugh just put the idiot kasich in his place kasich has no spine gopdebate rushlimbaugh ,Negative
2432,after the gopdebate if i were a republican id get behind the smaest most electable person in the room and draft megynkelly for prez ,Negative
2433,annebayefsky chrischristie faced the obama hug problem amp responded that he hugged 911 victims left thinking huh gopdebate ,Negative
2435,rubio paid off 400k in student debt in 4 yrs but was in povey so is making over 100kyr now considered povey gopdebate 2016 ,Negative
2436,shannonrwatts black men 10x more likely to be murdered wgun as white men black women 3x more likely to be murdered wgun as white wo ,Negative
2437,cameronesposito ugh will these guys ever shut up about how ppl shouldnt be killed during traffic stops gopdebate ,Negative
2439,on the gopdebate seemed like a lot of badblood so why not watch taylorswift13 kendricklamar instead ctl p2 ,Negative
2442,rmconservative if the media is fawning over the fox moderators conservatives should not gopdebate ,Negative
2443,gopdebate was so much fun isurfed around bot always ended up back there all the non thinkers in one place ,Negative
2444,annebayefsky democrats hoping they keep bloodying each other amp nobody left standing but real hope theres a star here gopdebate ,Negative
2445,bidenshairplugs common core is a ghetto education redistributed to middle class kids gopdebate ,Negative
2446,the ignorance stupidity bigotry amp misogyny on the fox hosted gopdebate last night was laughabledisgusting amp frightening takedownthegop ,Negative
2447,i was most impressed with marcorubio and realbencarson at the gopdebate way different experience than the macdebate ,Positive
2448,politics4dum putting illegals pimps and prostitutes in one categoryhow ignorant and stupid huckabee gopdebate republicandebate ,Negative
2451,themadstone bummed that we didnt get to watch a single candidate flounder over climate change gopdebate ,Negative
2452,just had a great time taping news12nj for poweramppolitics had fun with waltkane talking about gopdebate thanks karinattonito watch it ,Positive
2454,anyone else think the gopdebate moderators remind of them of the host from the hunger games ,Negative
2455,spwmthe3rd polisciumn did ted cruz just misspeak when he said during his closing statement that he would persecute religious libey ,Negative
2457,bencarson2016 may have separated conjoined twins but realdonaldtrump created the duckface why wouldnt he bring this up gopdebate ,Negative
2458,philcosby sooooodo we want any of these candidates as our next president gopdebate ,Negative
2459,seanmunger and god or koch forbid the candidates even mention the number one most serious issue facing the world today climate ch ,Negative
2460,shannonrwatts the nra promotes gag orders to block military commanders from discussing gun safety with atrisk service members gopde ,Negative
2461,jebbush tell me more about this hang em by the neck wing of your paygopdebate kkkorgop ,Negative
2462,deesnutsr4e10 realdonaldtrump just won on seanhannity by saying hed put hillary in jail bc they destroyed petraeus for much less ,Positive
2463,kayleymelissa gopdebate is like the trial from the unbreakable kimmy schmidt and dona ,Negative
2464,wolfrum oh donald again with your angry misogyny you are just incorrigible now tell us more about trump wall gopdebate ,Negative
2465,buffalopundit actually bushs brother cut the deal to leave iraq gopdebate ,Negative
2468,lots of republicans in my facebook and twitter timelines are ticked at fox news for running that hatchet job of a debate gopdebate ,Negative
2469,thomasmybarra purpose of the military is to kill people and break things um really its a last reso to defend americans gop201 ,Negative
2470,advice to gop candidates in order of how they finished 1st donald trump add detail for debte 2 dont play prevent gopdebate tcot p2 ,Negative
2472,notbillwalton the straight outta compton trailer that just came on spent more time on police brutality than the gopdebate did ,Negative
2473,megynkelly was the real winner last night foxdebate gopdebate ,Positive
2474,billmckibben glad to see climate change a key theme of tonights gopdebate we may differ on solutions but at least were all focuse ,Positive
2475,trump disagreeing with megyn kellys pointed somewhat gotcha questions does not equate to her being a bimbo ltsighgt gopdebate ,Negative
2476,gopdebate chriswallace megynkelly bretbaier i was really looking forward to a real debate of the candidates not an attack on trump ,Negative
2477,everybody loves carly the cinderella compared with the dwarfs at the other table she was the afternoon delight gopdebate ,Positive
2478,carly ill cuck for bibi before i do anything for the us count on it israel first cuckservative gopdebate ,Negative
2479,johnkasich is from ohio ohio gave us boehner no thanks another rhino gopdebate ,Negative
2480,optibotimus know whats funnythe gopdebate probably has a better score on rotten tomatoes than fantasticfour ,Positive
2482,drewmoss1979 is foxnews a longgame liberal conspiracy to drive the republican pay so far right that it will never win a general ele ,Negative
2483,chris christie did nicely i think im surprised fox news didnt hit him with fat questions though fitnessaspresident gopdebate ,Positive
2485,i think megynkelly won gopdebate hard hitting questions of concern to majority of voter not just fringe gop base megynforpresident ,Positive
2486,feministabulous i dont always suppo everything megyn kelly says but tonight shes my hero gopdebate ,Positive
2488,god damn thats whats called a mega twatswat hardballchris gopdebate carlyfiorina ,Negative
2489,not shocked muchbut debate questions for both were absurdwith all the shit we have going on they chose 2 try amp sta fights gopdebate ,Negative
2491,pattonoswalt ted cruz chubby damien thorne gopdebate ,Negative
2492,profkori as person who grew up poor i can tell you no one is more brutal than poor ppl who make it amp think success makes them better ,Negative
2493,brianstelter overnight s gopdebate had a 160 household rating vs 53 in 201112 ,Positive
2494,lollyohmy good thing climatechange is not something to worry about im excited about the beaches in colorado gopdebate ,Positive
2495,no substantive conversation about income inequality declining wages social security or race and minorities gopdebate about nothing ,Negative
2496,atlcav all my faves did really well last night marcorubio johnkasich realbencarson carlyfiorina gopdebate rubiokasich ticket ,Positive
2497,came in the negro barbershop asked about the gopdebate they told me to shut up ,Negative
2498,ultimately liberals were unhappy which means the gop did something right gopdebate ,Positive
2499,gopdebate govwalker being prolife means pro every life when you develop a uterus then you can have an opinion ,Negative
